venture_id,company_name,country,sector,funding_stage,team_size,total_capital_raised,last_valuation,revenue_ttm,revenue_growth_pct,gross_margin_pct,burn_rate_monthly,patent_count,founder_background_score,local_employees,local_patents_filed,national_strategy_alignment,competitive_intensity,regulatory_moat,investment_outcome,time_to_outcome_months,is_pre_revenue,is_esg_missing,political_stability_norm,rule_of_law_norm,ip_protection_score,company_age,months_since_funding,capital_efficiency,valuation_multiple,runway_months,bilateral_composite,sanctions_exposure,country_risk_composite,tech_transfer_proxy,employment_impact,esg_composite,esg_risk_flag,bilateral_x_techtransfer,funding_stage_num,stability_x_stage,esg_x_competition,region,outcome_binary,outcome_numeric,founding_year,last_funding_date
V0001,CryoLabs,United States,Deeptech / AI,Seed,11,148718.241731648,1121939.50194497,0.0,-50.0,25.6615804970135,380.980489535528,15,1,0,3,3,75,11.6500924288775,Still Active,,1,0,71.9909893635879,78.7087101703716,98.1437245120026,15,38.9,0.0,,97.5891455182903,39.7101725093616,0,78.8884520178454,51.849640033779,0.0,57.5400370588516,0,20.5895815028966,1,11.9984982272646,249.190556892079,Americas,0,0,2011,2023-01-02
V0002,Prism.earth,India,Climate & Sustainability,Seed,42,100000.0,376510.086843245,0.0,69.297468705433,33.7522746547418,589.301034576697,5,3,0,2,2,27,9.1789326841037,Successful Exit,56.0,1,0,44.7479695902053,48.5362187509886,61.5329443418188,11,65.7,0.0,,42.4231395045111,52.6149772944487,8,54.557303496659,32.6183240227612,0.0,59.5714489224735,0,17.1621237784055,1,7.45799493170089,198.504250777138,South Asia,1,3,2015,2020-10-19
V0003,Arc Learn,Germany,Edtech,Series B,72,18834885.1371859,78386937.7710157,1720630.51243026,30.9305348815576,60.5513937651447,36201.7499229754,3,5,0,0,1,76,15.8377504450124,Partial Return,38.0,0,0,75.202306476587,92.4583411327038,96.7112427219515,3,27.1,0.091353384950206,45.5571008445619,120.0,31.6626054698264,0,82.9083318133523,48.3556213609757,0.0,52.6053744236895,0,15.3106496140088,3,37.6011532382935,228.507510640265,Europe,0,2,2023,2023-12-21
V0004,Stratos.logistics,United States,Logistics & Mobility,Series A,10,2000000.0,6782755.49426733,55690.0752466963,59.6595592361161,31.2431425231238,8408.91520256824,8,3,1,0,2,27,33.7047334850293,Successful Exit,55.0,0,0,71.7170168807286,76.5562431551333,98.4426982201676,4,10.5,0.0278450376233481,121.794690781454,59.4607018807003,39.2085500181774,0,77.3527934459857,49.2213491100838,50.0,46.7311941656755,0,19.2989772854489,2,23.9056722935762,155.717895964737,Americas,1,3,2022,2025-05-01
V0005,Tera Fund,United States,Fintech,Series C,46,64313295.0536738,488964145.127729,5191323.09379692,19.1145045811859,63.2480533043517,188903.112368814,3,2,0,0,1,143,51.0224574261067,Still Active,,0,0,69.2340973220737,80.0855315482968,98.3731265653958,8,24.8,0.0807192834617539,94.1887330634437,85.1141284111146,47.3382501943002,0,76.0455053624013,49.1865632826979,0.0,58.3793679867672,0,23.2840583887413,4,46.1560648813825,290.134559441477,Americas,0,0,2018,2024-02-28
V0006,DuneFund Inc,Mexico,Fintech,Series D,929,355462217.870375,1666496708.39818,59854226.2919378,35.3582170246574,70.8665681213569,1235088.21094896,0,5,31,0,3,126,52.2444263936015,Partial Return,46.0,0,0,38.4626417267031,36.985006424283696,48.8902917751342,8,48.6,0.168384214363295,27.8425904341304,71.9507754019572,11.1015033956606,4,50.1040367768773,24.4451458875671,8.7210393795789,52.1695109349882,0,2.71377870078245,5,32.0522014389192,252.71887117813,Americas,0,2,2018,2022-03-15
V0007,VanguardVolt,France,Energy & Clean Tech,Series A,18,3081347.91630862,15324708.8520448,7990.69986432199,49.6914867335752,28.3648757422164,16798.9181716017,11,1,0,2,4,24,57.6031992498448,Still Active,,0,0,67.6946337217497,78.8585882220699,93.3670639574271,6,35.0,0.0025932481762379,1917.81810257556,45.8563445102909,33.6624624457078,8,78.1972110757048,48.5353838305654,0.0,52.1375953222126,0,16.3382053548442,2,22.5648779072499,167.824445149431,Europe,0,0,2020,2023-04-27
V0008,EchoMarket,Nigeria,Digital Economy,Series B,28,15000000.0,103717864.41414,1060792.50782583,43.3236567113879,84.1364846187954,76253.7616710459,3,2,1,0,4,138,16.1805628279327,Write-off,28.0,0,0,23.867759640769,19.2439287191705,22.6450921729674,16,34.2,0.0707195005217221,97.7739413212084,49.177901756208,12.0831896411724,4,36.8183864426694,11.3225460864837,6.66666666666666,47.0139036893484,0,1.36812471583898,3,11.9338798203845,231.988882249806,Africa,0,1,2010,2023-05-22
V0009,StratosShip,China,Logistics & Mobility,Series B,198,38415297.4456449,204421400.582643,624644.171391766,62.3063952876523,52.5310724721754,148555.193274791,0,3,11,1,2,22,45.5123678738087,Write-off,25.0,0,0,40.4281120523359,44.3687023637659,66.3905051123915,10,48.4,0.0162602976659388,327.260558802898,64.6481900073764,21.7355067526237,0,50.8082348150905,34.1211784821217,28.634426208893,73.2463677174213,0,7.41641105305637,3,20.2140560261679,229.663562315794,East Asia,0,1,2016,2022-03-21
V0010,Aether.academy,United Kingdom,Edtech,Pre-IPO,1094,1705514729.41729,5387132887.25815,68739561.6930453,15.52002537854,68.0625696699297,3234096.88197164,1,1,8,0,2,16,0.0,Successful Exit,31.0,0,0,68.7550057925168,86.5233975467177,96.4286492432259,10,81.6,0.0403042908439324,78.3701954823956,120.0,34.293261558113,0,80.0839229118054,48.2143246216129,0.469066602710214,54.1813056595101,0,16.5342644509674,6,68.7550057925168,153.507198192912,Europe,1,3,2016,2019-07-01
